Tamaño de máscara 	 Tiempo promedio (100 rep)
6	0.03445709200000073
16	0.03400238199999974
26	0.03368562499999997
36	0.04626732300000001
46	0.04647742300000038
56	0.04110147700000028
66	0.05951542799999921
76	0.05760093100000018
86	0.03570654999999997
96	0.03545023399999963
106	0.035265792000000164
116	0.03492708399999964
126	0.03492265300000058
